model,family,feature_set,policy,threshold,accuracy,precision,recall,f1,false_positives_per_true_positive,predicted_positive_rate,tp,fp,tn,fn
Extra Trees,tabular_ml,model_native,default_0_50,0.5,0.9738717339667459,0.9234449760765551,0.4730392156862745,0.6256077795786061,0.08290155440414508,0.02363985974437281,193,16,8417,215
ExtraTrees__tabular_plus_graph_plus_spectral,feature_ablation,tabular_plus_graph_plus_spectral,default_0_50,0.5,0.9740979527202805,0.9543147208121827,0.46078431372549017,0.6214876033057851,0.047872340425531915,0.0222825472231648,188,9,8424,220
Random Forest,tabular_ml,model_native,default_0_50,0.5,0.9736455152132112,0.9227053140096618,0.4681372549019608,0.6211382113821138,0.08376963350785341,0.02341364099083814,191,16,8417,217
ExtraTrees__tabular_plus_graph,feature_ablation,tabular_plus_graph,default_0_50,0.5,0.9738717339667459,0.949238578680203,0.4583333333333333,0.6181818181818182,0.053475935828877004,0.0222825472231648,187,10,8423,221
ExtraTrees__tabular_plus_graph_plus_node2vec,feature_ablation,tabular_plus_graph_plus_node2vec,default_0_50,0.5,0.9738717339667459,0.9585492227979274,0.4534313725490196,0.6156405990016639,0.043243243243243246,0.021830109716095464,185,8,8425,223
ExtraTrees__all_features,feature_ablation,all_features,default_0_50,0.5,0.9736455152132112,0.9533678756476683,0.45098039215686275,0.6123128119800333,0.04891304347826087,0.021830109716095464,184,9,8424,224
HistGradientBoosting,tabular_ml,model_native,default_0_50,0.5,0.9630132337970818,0.6302250803858521,0.4803921568627451,0.545201668984701,0.5867346938775511,0.03517701617464088,196,115,8318,212
XGBoost,tabular_ml,model_native,default_0_50,0.5,0.9576970930890171,0.546448087431694,0.49019607843137253,0.5167958656330749,0.83,0.041398031896844247,200,166,8267,208
HistGradientBoosting__tabular_plus_graph_plus_spectral,feature_ablation,tabular_plus_graph_plus_spectral,default_0_50,0.5,0.957357764958715,0.5424657534246575,0.4852941176470588,0.5122897800776197,0.8434343434343434,0.041284922520076914,198,167,8266,210
HistGradientBoosting__all_features,feature_ablation,all_features,default_0_50,0.5,0.9563397805678091,0.529891304347826,0.47794117647058826,0.5025773195876289,0.8871794871794871,0.04162425065037892,195,173,8260,213
HistGradientBoosting__tabular_plus_graph_plus_node2vec,feature_ablation,tabular_plus_graph_plus_node2vec,default_0_50,0.5,0.9560004524375071,0.5256064690026954,0.47794117647058826,0.5006418485237484,0.9025641025641026,0.04196357878068092,195,176,8257,213
HistGradientBoosting__tabular_plus_graph,feature_ablation,tabular_plus_graph,default_0_50,0.5,0.9528333898880217,0.48872180451127817,0.47794117647058826,0.483271375464684,1.0461538461538462,0.04513064133016627,195,204,8229,213
XGBoost__tabular_plus_graph,feature_ablation,tabular_plus_graph,default_0_50,0.5,0.9469517022961204,0.43326039387308535,0.4852941176470588,0.4578034682080925,1.3080808080808082,0.051690985182671643,198,259,8174,210
XGBoost__tabular_plus_graph_plus_node2vec,feature_ablation,tabular_plus_graph_plus_node2vec,default_0_50,0.5,0.946159936658749,0.4264069264069264,0.48284313725490197,0.4528735632183908,1.3451776649746192,0.052256532066508314,197,265,8168,211
XGBoost__tabular_plus_graph_plus_spectral,feature_ablation,tabular_plus_graph_plus_spectral,default_0_50,0.5,0.9395995928062436,0.3793103448275862,0.4852941176470588,0.4258064516129032,1.6363636363636365,0.059043094672548355,198,324,8109,210
MLP,tabular_ml,model_native,default_0_50,0.5,0.9642574369415224,0.823943661971831,0.2867647058823529,0.4254545454545455,0.21367521367521367,0.01606153150096143,117,25,8408,291
