model,policy,threshold,metric,point_estimate,ci_lower_95,ci_upper_95,n_test,bootstrap_resamples,tp,fp,tn,fn
Logistic Regression,default_0_50,0.5,accuracy,0.7278588394977944,0.718923198733175,0.7369075896391811,8841,1000,326,2324,6109,82
Logistic Regression,default_0_50,0.5,precision,0.1230188679245283,0.11069411298570862,0.13574394233723355,8841,1000,326,2324,6109,82
Logistic Regression,default_0_50,0.5,recall,0.7990196078431373,0.7574984177917925,0.8367383123462151,8841,1000,326,2324,6109,82
Logistic Regression,default_0_50,0.5,f1,0.2132112491824722,0.19433257794474237,0.23273669495474378,8841,1000,326,2324,6109,82
Logistic Regression,default_0_50,0.5,false_positives_per_true_positive,7.128834355828221,6.366811245819398,8.033904089778446,8841,1000,326,2324,6109,82
Logistic Regression,default_0_50,0.5,predicted_positive_rate,0.29973984843343515,0.2902358330505599,0.3091335821739622,8841,1000,326,2324,6109,82
Logistic Regression,validation_max_f1,0.9278497540562174,accuracy,0.9002375296912114,0.894016513969008,0.9063454360366474,8841,1000,208,682,7751,200
Logistic Regression,validation_max_f1,0.9278497540562174,precision,0.23370786516853934,0.20584710322317423,0.26062092097369427,8841,1000,208,682,7751,200
Logistic Regression,validation_max_f1,0.9278497540562174,recall,0.5098039215686274,0.45656372934697087,0.5585542133857357,8841,1000,208,682,7751,200
Logistic Regression,validation_max_f1,0.9278497540562174,f1,0.3204930662557781,0.2868914771934719,0.35215159020260367,8841,1000,208,682,7751,200
Logistic Regression,validation_max_f1,0.9278497540562174,false_positives_per_true_positive,3.2788461538461537,2.836990510107456,3.8579746083718542,8841,1000,208,682,7751,200
Logistic Regression,validation_max_f1,0.9278497540562174,predicted_positive_rate,0.10066734532292727,0.09376484560570071,0.10711457979866532,8841,1000,208,682,7751,200
Logistic Regression,top_5pct_budget,0.9783061085827813,accuracy,0.9364325302567583,0.9316819364325303,0.9414121705689401,8841,1000,60,214,8219,348
Logistic Regression,top_5pct_budget,0.9783061085827813,precision,0.21897810218978103,0.170197729494023,0.26621689793477993,8841,1000,60,214,8219,348
Logistic Regression,top_5pct_budget,0.9783061085827813,recall,0.14705882352941177,0.11294117647058824,0.18182369814651367,8841,1000,60,214,8219,348
Logistic Regression,top_5pct_budget,0.9783061085827813,f1,0.17595307917888564,0.13706951734733067,0.21338889051113158,8841,1000,60,214,8219,348
Logistic Regression,top_5pct_budget,0.9783061085827813,false_positives_per_true_positive,3.566666666666667,2.7563356164383563,4.875520833333333,8841,1000,60,214,8219,348
Logistic Regression,top_5pct_budget,0.9783061085827813,predicted_positive_rate,0.03099196923424952,0.02737246917769483,0.034611469290804206,8841,1000,60,214,8219,348
Logistic Regression,validation_precision_at_least_80pct,1.0,accuracy,0.9539644836556951,0.9497794367153037,0.9582654677072729,8841,1000,1,0,8433,407
Logistic Regression,validation_precision_at_least_80pct,1.0,precision,1.0,0.0,1.0,8841,1000,1,0,8433,407
Logistic Regression,validation_precision_at_least_80pct,1.0,recall,0.0024509803921568627,0.0,0.007616165560327995,8841,1000,1,0,8433,407
Logistic Regression,validation_precision_at_least_80pct,1.0,f1,0.004889975550122249,0.0,0.015117195762108944,8841,1000,1,0,8433,407
Logistic Regression,validation_precision_at_least_80pct,1.0,false_positives_per_true_positive,0.0,0.0,0.0,8841,1000,1,0,8433,407
Logistic Regression,validation_precision_at_least_80pct,1.0,predicted_positive_rate,0.00011310937676733401,0.0,0.00033932813030200206,8841,1000,1,0,8433,407
Logistic Regression,validation_precision_at_least_90pct,1.0,accuracy,0.9539644836556951,0.9497794367153037,0.9582654677072729,8841,1000,1,0,8433,407
Logistic Regression,validation_precision_at_least_90pct,1.0,precision,1.0,0.0,1.0,8841,1000,1,0,8433,407
Logistic Regression,validation_precision_at_least_90pct,1.0,recall,0.0024509803921568627,0.0,0.007616165560327995,8841,1000,1,0,8433,407
Logistic Regression,validation_precision_at_least_90pct,1.0,f1,0.004889975550122249,0.0,0.015117195762108944,8841,1000,1,0,8433,407
Logistic Regression,validation_precision_at_least_90pct,1.0,false_positives_per_true_positive,0.0,0.0,0.0,8841,1000,1,0,8433,407
Logistic Regression,validation_precision_at_least_90pct,1.0,predicted_positive_rate,0.00011310937676733401,0.0,0.00033932813030200206,8841,1000,1,0,8433,407
Random Forest,default_0_50,0.5,accuracy,0.9736455152132112,0.9700260151566565,0.9772650152697658,8841,1000,191,16,8417,217
Random Forest,default_0_50,0.5,precision,0.9227053140096618,0.8834822350753977,0.96,8841,1000,191,16,8417,217
Random Forest,default_0_50,0.5,recall,0.4681372549019608,0.42042681485683225,0.51474796273193,8841,1000,191,16,8417,217
Random Forest,default_0_50,0.5,f1,0.6211382113821138,0.5728797103834128,0.66554756302521,8841,1000,191,16,8417,217
Random Forest,default_0_50,0.5,false_positives_per_true_positive,0.08376963350785341,0.041666666666666664,0.13188468158347674,8841,1000,191,16,8417,217
Random Forest,default_0_50,0.5,predicted_positive_rate,0.02341364099083814,0.02024657844135279,0.02647042189797534,8841,1000,191,16,8417,217
Random Forest,validation_max_f1,0.460809029756794,accuracy,0.9720619839384685,0.9682162651283791,0.9754552652414885,8841,1000,192,31,8402,216
Random Forest,validation_max_f1,0.460809029756794,precision,0.8609865470852018,0.8151648811183241,0.9099616390028266,8841,1000,192,31,8402,216
Random Forest,validation_max_f1,0.460809029756794,recall,0.47058823529411764,0.42232460847928965,0.5174381106553968,8841,1000,192,31,8402,216
Random Forest,validation_max_f1,0.460809029756794,f1,0.6085578446909667,0.560570709956353,0.6513985178101841,8841,1000,192,31,8402,216
Random Forest,validation_max_f1,0.460809029756794,false_positives_per_true_positive,0.16145833333333334,0.09894742918719211,0.22674568448813232,8841,1000,192,31,8402,216
Random Forest,validation_max_f1,0.460809029756794,predicted_positive_rate,0.025223391019115485,0.021943219092862797,0.028506390679787354,8841,1000,192,31,8402,216
Random Forest,top_5pct_budget,0.8689772121407573,accuracy,0.9711571089243298,0.9675376088677752,0.9747794367153036,8841,1000,154,1,8432,254
Random Forest,top_5pct_budget,0.8689772121407573,precision,0.9935483870967742,0.9788618401053805,1.0,8841,1000,154,1,8432,254
Random Forest,top_5pct_budget,0.8689772121407573,recall,0.37745098039215685,0.32876307522912007,0.42716277478402187,8841,1000,154,1,8432,254
Random Forest,top_5pct_budget,0.8689772121407573,f1,0.5470692717584369,0.4937833037300178,0.596980023125293,8841,1000,154,1,8432,254
Random Forest,top_5pct_budget,0.8689772121407573,false_positives_per_true_positive,0.006493506493506494,0.0,0.021594636055861184,8841,1000,154,1,8432,254
Random Forest,top_5pct_budget,0.8689772121407573,predicted_positive_rate,0.017531953398936772,0.014704218979753422,0.02024940617577197,8841,1000,154,1,8432,254
Random Forest,validation_precision_at_least_80pct,0.2638528884272639,accuracy,0.9453681710213777,0.940391358443615,0.9500056554688384,8841,1000,197,272,8161,211
Random Forest,validation_precision_at_least_80pct,0.2638528884272639,precision,0.4200426439232409,0.3747364920060684,0.4655889993223402,8841,1000,197,272,8161,211
Random Forest,validation_precision_at_least_80pct,0.2638528884272639,recall,0.48284313725490197,0.4345766037564649,0.530716322382989,8841,1000,197,272,8161,211
Random Forest,validation_precision_at_least_80pct,0.2638528884272639,f1,0.4492588369441277,0.40588897927283457,0.48999392269817643,8841,1000,197,272,8161,211
Random Forest,validation_precision_at_least_80pct,0.2638528884272639,false_positives_per_true_positive,1.380710659898477,1.1478170707273092,1.6685418190279901,8841,1000,197,272,8161,211
Random Forest,validation_precision_at_least_80pct,0.2638528884272639,predicted_positive_rate,0.05304829770387965,0.04875014138672096,0.05813821965840968,8841,1000,197,272,8161,211
Random Forest,validation_precision_at_least_90pct,0.3509793144414043,accuracy,0.9641443275647551,0.9601826716434793,0.9679900463748444,8841,1000,194,103,8330,214
Random Forest,validation_precision_at_least_90pct,0.3509793144414043,precision,0.6531986531986532,0.5999653979238754,0.7037097953216375,8841,1000,194,103,8330,214
Random Forest,validation_precision_at_least_90pct,0.3509793144414043,recall,0.47549019607843135,0.42748091603053434,0.5226897433341346,8841,1000,194,103,8330,214
Random Forest,validation_precision_at_least_90pct,0.3509793144414043,f1,0.550354609929078,0.5045948406676782,0.5908563869803792,8841,1000,194,103,8330,214
Random Forest,validation_precision_at_least_90pct,0.3509793144414043,false_positives_per_true_positive,0.5309278350515464,0.42104033448106243,0.6667630057803468,8841,1000,194,103,8330,214
Random Forest,validation_precision_at_least_90pct,0.3509793144414043,predicted_positive_rate,0.033593484899898204,0.02986087546657618,0.037665422463522225,8841,1000,194,103,8330,214
Extra Trees,default_0_50,0.5,accuracy,0.9738717339667459,0.9703653432869584,0.977267843004185,8841,1000,193,16,8417,215
Extra Trees,default_0_50,0.5,precision,0.9234449760765551,0.8888747884940777,0.9585253456221198,8841,1000,193,16,8417,215
Extra Trees,default_0_50,0.5,recall,0.4730392156862745,0.42437065872248075,0.5185627154600901,8841,1000,193,16,8417,215
Extra Trees,default_0_50,0.5,f1,0.6256077795786061,0.5793528505392912,0.6676893501728144,8841,1000,193,16,8417,215
Extra Trees,default_0_50,0.5,false_positives_per_true_positive,0.08290155440414508,0.04326923076923077,0.12501785714285713,8841,1000,193,16,8417,215
Extra Trees,default_0_50,0.5,predicted_positive_rate,0.02363985974437281,0.020699015948422123,0.026693812917090828,8841,1000,193,16,8417,215
Extra Trees,validation_max_f1,0.5185973378219803,accuracy,0.9739848433435132,0.9703653432869584,0.9773809523809524,8841,1000,192,14,8419,216
Extra Trees,validation_max_f1,0.5185973378219803,precision,0.9320388349514563,0.8973214285714286,0.9656904591104735,8841,1000,192,14,8419,216
Extra Trees,validation_max_f1,0.5185973378219803,recall,0.47058823529411764,0.42288044314509926,0.5160708534621578,8841,1000,192,14,8419,216
Extra Trees,validation_max_f1,0.5185973378219803,f1,0.6254071661237784,0.5808586055231091,0.6677268052681139,8841,1000,192,14,8419,216
Extra Trees,validation_max_f1,0.5185973378219803,false_positives_per_true_positive,0.07291666666666667,0.03552850843459981,0.11442786069651742,8841,1000,192,14,8419,216
Extra Trees,validation_max_f1,0.5185973378219803,predicted_positive_rate,0.023300531614070807,0.02035968781812012,0.02624137541002149,8841,1000,192,14,8419,216
Extra Trees,top_5pct_budget,0.8484248714434297,accuracy,0.9720619839384685,0.9685555932586811,0.9755683746182559,8841,1000,162,1,8432,246
Extra Trees,top_5pct_budget,0.8484248714434297,precision,0.9938650306748467,0.9797227878563495,1.0,8841,1000,162,1,8432,246
Extra Trees,top_5pct_budget,0.8484248714434297,recall,0.39705882352941174,0.3511134571309981,0.44417795341387833,8841,1000,162,1,8432,246
Extra Trees,top_5pct_budget,0.8484248714434297,f1,0.5674255691768827,0.5179465147329041,0.6143538070567437,8841,1000,162,1,8432,246
Extra Trees,top_5pct_budget,0.8484248714434297,false_positives_per_true_positive,0.006172839506172839,0.0,0.020696889317578966,8841,1000,162,1,8432,246
Extra Trees,top_5pct_budget,0.8484248714434297,predicted_positive_rate,0.018436828413075444,0.015719375636240245,0.021264562832258794,8841,1000,162,1,8432,246
Extra Trees,validation_precision_at_least_80pct,0.2530909730022714,accuracy,0.9479696866870263,0.9432190928627984,0.9526099988689062,8841,1000,203,255,8178,205
Extra Trees,validation_precision_at_least_80pct,0.2530909730022714,precision,0.4432314410480349,0.4,0.4859255003706449,8841,1000,203,255,8178,205
Extra Trees,validation_precision_at_least_80pct,0.2530909730022714,recall,0.49754901960784315,0.44897704717797343,0.5430190956506745,8841,1000,203,255,8178,205
Extra Trees,validation_precision_at_least_80pct,0.2530909730022714,f1,0.46882217090069284,0.42687727324391905,0.5049066999706141,8841,1000,203,255,8178,205
Extra Trees,validation_precision_at_least_80pct,0.2530909730022714,false_positives_per_true_positive,1.2561576354679802,1.0579286655373612,1.5,8841,1000,203,255,8178,205
