model,family,feature_set,accuracy,precision,recall,f1,auroc,auprc,brier,precision_at_k,recall_at_k,k
Extra Trees,tabular_ml,model_native,0.9738717339667459,0.9234449760765551,0.4730392156862745,0.6256077795786061,0.8694701080954141,0.5698956987932415,0.02874524194667172,0.4582392776523702,0.49754901960784315,443
HistGradientBoosting,tabular_ml,model_native,0.9630132337970818,0.6302250803858521,0.4803921568627451,0.545201668984701,0.8716198384962903,0.5596799006096164,0.03316816778704474,0.4650112866817156,0.5049019607843137,443
ExtraTrees__tabular_plus_graph_plus_node2vec,feature_ablation,tabular_plus_graph_plus_node2vec,0.9738717339667459,0.9585492227979274,0.4534313725490196,0.6156405990016639,0.8517927062915762,0.5534244733185978,0.027905459310484874,0.4469525959367946,0.4852941176470588,443
XGBoost,tabular_ml,model_native,0.9576970930890171,0.546448087431694,0.49019607843137253,0.5167958656330749,0.8627910194078817,0.553342347276509,0.03568666706180458,0.4582392776523702,0.49754901960784315,443
ExtraTrees__tabular_plus_graph_plus_spectral,feature_ablation,tabular_plus_graph_plus_spectral,0.9740979527202805,0.9543147208121827,0.46078431372549017,0.6214876033057851,0.8463119328129687,0.5500552159140595,0.028395884973140308,0.4469525959367946,0.4852941176470588,443
ExtraTrees__tabular_plus_graph,feature_ablation,tabular_plus_graph,0.9738717339667459,0.949238578680203,0.4583333333333333,0.6181818181818182,0.8468326171924954,0.5495929501528882,0.028476482500956746,0.44469525959367945,0.48284313725490197,443
ExtraTrees__all_features,feature_ablation,all_features,0.9736455152132112,0.9533678756476683,0.45098039215686275,0.6123128119800333,0.8443290306754743,0.5472739915754818,0.02837537555890439,0.44469525959367945,0.48284313725490197,443
Random Forest,tabular_ml,model_native,0.9736455152132112,0.9227053140096618,0.4681372549019608,0.6211382113821138,0.8503794616388001,0.5433831162637223,0.029851752392939922,0.44469525959367945,0.48284313725490197,443
XGBoost__tabular_plus_graph,feature_ablation,tabular_plus_graph,0.9469517022961204,0.43326039387308535,0.4852941176470588,0.4578034682080925,0.8415698248942647,0.5381024234255666,0.044958693084668565,0.4469525959367946,0.4852941176470588,443
HistGradientBoosting__tabular_plus_graph_plus_spectral,feature_ablation,tabular_plus_graph_plus_spectral,0.957357764958715,0.5424657534246575,0.4852941176470588,0.5122897800776197,0.8430433776736117,0.5337362614147609,0.036908244193051554,0.4469525959367946,0.4852941176470588,443
XGBoost__tabular_plus_graph_plus_spectral,feature_ablation,tabular_plus_graph_plus_spectral,0.9395995928062436,0.3793103448275862,0.4852941176470588,0.4258064516129032,0.8387267690190033,0.5336124673118797,0.04987285324519671,0.44469525959367945,0.48284313725490197,443
HistGradientBoosting__all_features,feature_ablation,all_features,0.9563397805678091,0.529891304347826,0.47794117647058826,0.5025773195876289,0.8471815324018852,0.5333675189832563,0.03796736541248876,0.4469525959367946,0.4852941176470588,443
XGBoost__tabular_plus_graph_plus_node2vec,feature_ablation,tabular_plus_graph_plus_node2vec,0.946159936658749,0.4264069264069264,0.48284313725490197,0.4528735632183908,0.8361519753163924,0.5333389863468438,0.045541838007574865,0.44469525959367945,0.48284313725490197,443
XGBoost__all_features,feature_ablation,all_features,0.9351883271123176,0.35241502683363146,0.48284313725490197,0.4074457083764219,0.8308806090917336,0.5317411091638663,0.05229024214355169,0.44469525959367945,0.48284313725490197,443
HistGradientBoosting__tabular_plus_graph_plus_node2vec,feature_ablation,tabular_plus_graph_plus_node2vec,0.9560004524375071,0.5256064690026954,0.47794117647058826,0.5006418485237484,0.8370823189942406,0.5307936541735256,0.038099271711069804,0.44469525959367945,0.48284313725490197,443
HistGradientBoosting__tabular_plus_graph,feature_ablation,tabular_plus_graph,0.9528333898880217,0.48872180451127817,0.47794117647058826,0.483271375464684,0.8402636816614467,0.53070709003173,0.039849658428884986,0.44469525959367945,0.48284313725490197,443
MLP,tabular_ml,model_native,0.9642574369415224,0.823943661971831,0.2867647058823529,0.4254545454545455,0.8446278102133773,0.4459375481714364,0.03189758652813349,0.44243792325056436,0.4803921568627451,443
StrictTemporalGraphSAGE,strict_temporal_graph_ai,model_native,0.8358782943105983,0.1525649566955363,0.5612745098039216,0.2399161864850707,0.7928324300193219,0.38089103465253693,0.1102861656406708,0.36343115124153497,0.3946078431372549,443
GraphSAGE,graph_ai,model_native,0.2943105983486031,0.05617293347541483,0.9044117647058824,0.10577612154221012,0.7835682298533074,0.31082795481927344,0.3365362160943114,0.28442437923250563,0.3088235294117647,443
GCN,graph_ai,model_native,0.8370093880782717,0.1445285615966965,0.5147058823529411,0.22568511552928533,0.7952342919855004,0.29368141507851886,0.10859896763232674,0.3160270880361174,0.3431372549019608,443
Logistic Regression,tabular_ml,model_native,0.7278588394977944,0.1230188679245283,0.7990196078431373,0.2132112491824722,0.8554255806437361,0.19871373035830106,0.19929741778441978,0.3002257336343115,0.32598039215686275,443
GATLite,graph_ai,model_native,0.33876258341816534,0.06003236245954693,0.9093137254901961,0.11262902246508803,0.7485518783583633,0.16193105743237274,0.3579429001729013,0.22799097065462753,0.24754901960784315,443
ResidualGCN,graph_ai,model_native,0.4772084605813822,0.07382686084142395,0.8946078431372549,0.13639760837070253,0.7724911528704924,0.12660898072423096,0.23985622532394518,0.13769751693002258,0.14950980392156862,443
