model,split,metric,point_estimate,ci_lower_95,ci_upper_95,n_test,positive_rate,bootstrap_resamples,k_for_precision_recall_at_k,model_family,train_seconds
Logistic Regression,main_test,accuracy,0.7278588394977944,0.718923198733175,0.7369075896391811,8841,0.04614862572107228,1000,443,tabular_ml,3.0672318935394287
Logistic Regression,main_test,precision,0.1230188679245283,0.11069411298570862,0.13574394233723355,8841,0.04614862572107228,1000,443,tabular_ml,3.0672318935394287
Logistic Regression,main_test,recall,0.7990196078431373,0.7574984177917925,0.8367383123462151,8841,0.04614862572107228,1000,443,tabular_ml,3.0672318935394287
Logistic Regression,main_test,f1,0.2132112491824722,0.19433257794474237,0.23273669495474378,8841,0.04614862572107228,1000,443,tabular_ml,3.0672318935394287
Logistic Regression,main_test,auroc,0.8554255806437361,0.8410662143830133,0.8696476528107885,8841,0.04614862572107228,1000,443,tabular_ml,3.0672318935394287
Logistic Regression,main_test,auprc,0.19871373035830106,0.17256891819894296,0.2294256517674655,8841,0.04614862572107228,1000,443,tabular_ml,3.0672318935394287
Logistic Regression,main_test,brier,0.19929741778441978,0.1928377748069534,0.2056685006501046,8841,0.04614862572107228,1000,443,tabular_ml,3.0672318935394287
Logistic Regression,main_test,precision_at_k,0.3002257336343115,0.255079006772009,0.34085778781038373,8841,0.04614862572107228,1000,443,tabular_ml,3.0672318935394287
Logistic Regression,main_test,recall_at_k,0.32598039215686275,0.28536554570091155,0.3658070405070267,8841,0.04614862572107228,1000,443,tabular_ml,3.0672318935394287
Random Forest,main_test,accuracy,0.9736455152132112,0.9700260151566565,0.9772650152697658,8841,0.04614862572107228,1000,443,tabular_ml,16.56183409690857
Random Forest,main_test,precision,0.9227053140096618,0.8834822350753977,0.96,8841,0.04614862572107228,1000,443,tabular_ml,16.56183409690857
Random Forest,main_test,recall,0.4681372549019608,0.42042681485683225,0.51474796273193,8841,0.04614862572107228,1000,443,tabular_ml,16.56183409690857
Random Forest,main_test,f1,0.6211382113821138,0.5728797103834128,0.66554756302521,8841,0.04614862572107228,1000,443,tabular_ml,16.56183409690857
Random Forest,main_test,auroc,0.8503794616388001,0.8330865245171691,0.8672499327077966,8841,0.04614862572107228,1000,443,tabular_ml,16.56183409690857
Random Forest,main_test,auprc,0.5433831162637223,0.496732835590416,0.5874250240059571,8841,0.04614862572107228,1000,443,tabular_ml,16.56183409690857
Random Forest,main_test,brier,0.029851752392939922,0.027022866531090872,0.0328262595870043,8841,0.04614862572107228,1000,443,tabular_ml,16.56183409690857
Random Forest,main_test,precision_at_k,0.44469525959367945,0.3837471783295711,0.5033860045146726,8841,0.04614862572107228,1000,443,tabular_ml,16.56183409690857
Random Forest,main_test,recall_at_k,0.48284313725490197,0.4345766037564649,0.5297189712374931,8841,0.04614862572107228,1000,443,tabular_ml,16.56183409690857
Extra Trees,main_test,accuracy,0.9738717339667459,0.9703653432869584,0.977267843004185,8841,0.04614862572107228,1000,443,tabular_ml,4.931847095489502
Extra Trees,main_test,precision,0.9234449760765551,0.8888747884940777,0.9585253456221198,8841,0.04614862572107228,1000,443,tabular_ml,4.931847095489502
Extra Trees,main_test,recall,0.4730392156862745,0.42437065872248075,0.5185627154600901,8841,0.04614862572107228,1000,443,tabular_ml,4.931847095489502
Extra Trees,main_test,f1,0.6256077795786061,0.5793528505392912,0.6676893501728144,8841,0.04614862572107228,1000,443,tabular_ml,4.931847095489502
