mean_prob,observed_rate,n,model
2.1769688889699837e-21,0.0,885,Logistic Regression
4.747653854145179e-10,0.0011312217194570137,884,Logistic Regression
5.895622838899667e-06,0.0,884,Logistic Regression
0.00048057556754522535,0.006787330316742082,884,Logistic Regression
0.005847071920653364,0.006787330316742082,884,Logistic Regression
0.043686420269452964,0.01583710407239819,884,Logistic Regression
0.3014056134212222,0.06221719457013575,884,Logistic Regression
0.6582375104755538,0.07013574660633484,884,Logistic Regression
0.8677946781378851,0.06334841628959276,884,Logistic Regression
0.9660150594997031,0.23529411764705882,884,Logistic Regression
0.0012012624180376315,0.0,971,Random Forest
0.004887919952744154,0.0,802,Random Forest
0.007983326445699998,0.0011363636363636363,880,Random Forest
0.012153871881307177,0.00904977375565611,884,Random Forest
0.017751281876307177,0.016968325791855202,884,Random Forest
0.026760514960149293,0.029411764705882353,884,Random Forest
0.041981140503673686,0.05656108597285068,884,Random Forest
0.06685168901138408,0.07239819004524888,884,Random Forest
0.11883740199520075,0.03733031674208145,884,Random Forest
0.4060061492086379,0.23868778280542988,884,Random Forest
0.0021558109523936195,0.0022271714922048997,898,Extra Trees
0.00822492359838758,0.003432494279176201,874,Extra Trees
0.014165900687589982,0.0,881,Extra Trees
0.021426112425673313,0.004524886877828055,884,Extra Trees
0.03243160873159306,0.010180995475113122,884,Extra Trees
0.047770229969794166,0.027149321266968326,884,Extra Trees
0.06699662126204808,0.053167420814479636,884,Extra Trees
0.09169066999783326,0.04411764705882353,884,Extra Trees
0.13035323504304447,0.053167420814479636,884,Extra Trees
0.405018618202736,0.26357466063348417,884,Extra Trees
5.753559403311314e-05,0.0,885,HistGradientBoosting
0.00010315039738619491,0.0,884,HistGradientBoosting
0.00016631656330386242,0.0,884,HistGradientBoosting
0.000260874434970415,0.0011312217194570137,884,HistGradientBoosting
0.0004745284174653505,0.007918552036199095,884,HistGradientBoosting
0.0010880414628394424,0.021493212669683258,884,HistGradientBoosting
0.0026601073171134554,0.06787330316742081,884,HistGradientBoosting
0.0070745511441040985,0.0757918552036199,884,HistGradientBoosting
0.03360478744655851,0.04072398190045249,884,HistGradientBoosting
0.4535005916334679,0.24660633484162897,884,HistGradientBoosting
2.2662158261077536e-10,0.0022598870056497176,885,MLP
1.187709131045267e-07,0.003393665158371041,884,MLP
2.3034240257402416e-06,0.004524886877828055,884,MLP
1.7146421669167466e-05,0.005656108597285068,884,MLP
7.657240348635241e-05,0.019230769230769232,884,MLP
0.00027761919773183763,0.03959276018099547,884,MLP
0.0008432743488810956,0.03506787330316742,884,MLP
0.0024507916532456875,0.058823529411764705,884,MLP
0.008296100422739983,0.04411764705882353,884,MLP
0.1951856017112732,0.248868778280543,884,MLP
1.2230958418513183e-05,0.0,885,XGBoost
4.1684616007842124e-05,0.0,884,XGBoost
9.561269689584151e-05,0.0,884,XGBoost
0.00021317088976502419,0.004524886877828055,884,XGBoost
0.00051970494678244,0.013574660633484163,884,XGBoost
0.001357062254101038,0.033936651583710405,884,XGBoost
0.003749247407540679,0.053167420814479636,884,XGBoost
0.011798246763646603,0.07013574660633484,884,XGBoost
0.05394504591822624,0.04072398190045249,884,XGBoost
0.4971461296081543,0.24547511312217193,884,XGBoost
0.04495947472969124,0.006557377049180328,915,ExtraTrees__graph_handcrafted
0.060153030051738846,0.00922722029988466,867,ExtraTrees__graph_handcrafted
0.09294316084425001,0.016816143497757848,892,ExtraTrees__graph_handcrafted
0.2041167896956116,0.028968713789107765,863,ExtraTrees__graph_handcrafted
0.5703551542625899,0.05948795180722891,2656,ExtraTrees__graph_handcrafted
0.6938679577648451,0.09204545454545454,880,ExtraTrees__graph_handcrafted
0.8132695705729247,0.06342494714587738,946,ExtraTrees__graph_handcrafted
0.8942573824564735,0.06690997566909976,822,ExtraTrees__graph_handcrafted
0.00542847992228891,0.01124859392575928,889,HistGradientBoosting__graph_handcrafted
0.03569143714881461,0.00967982129560685,1343,HistGradientBoosting__graph_handcrafted
0.06442864974832083,0.004366812227074236,458,HistGradientBoosting__graph_handcrafted
