model,feature,importance_type,importance,importance_std
Extra Trees,f_052,model_builtin,0.05712663275010037,
Extra Trees,f_054,permutation_auprc_drop,0.04484260613316782,0.008546908447438679
Extra Trees,f_051,permutation_auprc_drop,0.04397161769465313,0.008740578924721814
Extra Trees,f_054,model_builtin,0.040260738704286474,
Extra Trees,f_051,model_builtin,0.03012856271359883,
Extra Trees,f_020,model_builtin,0.026361934504642203,
Extra Trees,f_052,permutation_auprc_drop,0.02193767056568454,0.005611918302026596
Extra Trees,f_088,model_builtin,0.02175404548681827,
Extra Trees,f_089,model_builtin,0.02103183912503508,
Extra Trees,f_019,model_builtin,0.02072159238988867,
Extra Trees,f_158,model_builtin,0.018911125551914296,
Extra Trees,f_139,model_builtin,0.017687402533512427,
Extra Trees,f_157,model_builtin,0.01762721950863973,
Extra Trees,f_012,model_builtin,0.016709223620918166,
Extra Trees,f_068,model_builtin,0.016524025386778014,
Extra Trees,f_061,model_builtin,0.015745399526373334,
Extra Trees,f_092,model_builtin,0.015637830938076455,
Extra Trees,f_067,model_builtin,0.01514970530167762,
Extra Trees,f_080,model_builtin,0.01463866760834865,
Extra Trees,f_140,model_builtin,0.014375412752353772,
Extra Trees,f_062,model_builtin,0.014069236581722929,
Extra Trees,f_091,model_builtin,0.014036973919615267,
Extra Trees,f_079,model_builtin,0.013946780783494084,
Extra Trees,f_011,model_builtin,0.01290694914997963,
Extra Trees,f_149,model_builtin,0.012723917554250043,
Extra Trees,f_133,model_builtin,0.012576795723847256,
Extra Trees,f_149,permutation_auprc_drop,0.011610933253107603,0.0023689898234909184
Extra Trees,f_113,model_builtin,0.011394504969955374,
Extra Trees,f_032,model_builtin,0.011250934326233019,
Extra Trees,f_134,model_builtin,0.011179677978966745,
Extra Trees,f_053,model_builtin,0.01069384448574975,
Extra Trees,f_055,model_builtin,0.010442950489410529,
Extra Trees,f_159,permutation_auprc_drop,0.010246443131191264,0.002469229518820717
Extra Trees,f_074,model_builtin,0.009736465861836028,
Extra Trees,f_026,model_builtin,0.009644850430201482,
Extra Trees,f_100,model_builtin,0.009378465723569407,
Extra Trees,f_031,model_builtin,0.009275316760518869,
Extra Trees,f_073,model_builtin,0.009088444577172432,
Extra Trees,f_025,model_builtin,0.009071184976290291,
Extra Trees,f_159,model_builtin,0.009004272915412434,
Extra Trees,f_086,model_builtin,0.008794959812542661,
Extra Trees,f_085,model_builtin,0.008745991730310208,
Extra Trees,f_098,model_builtin,0.008278427733058154,
Extra Trees,f_097,model_builtin,0.008042424819049324,
Extra Trees,f_152,model_builtin,0.007926434830170038,
Extra Trees,f_056,model_builtin,0.00791219454410905,
Extra Trees,f_102,model_builtin,0.007717267391712541,
Extra Trees,f_048,model_builtin,0.00764165476988255,
Extra Trees,f_151,model_builtin,0.0074500076800732345,
Extra Trees,f_082,model_builtin,0.007399266968980091,
Extra Trees,f_145,model_builtin,0.007232976592017601,
Extra Trees,f_045,model_builtin,0.007178085519263679,
Extra Trees,f_039,model_builtin,0.006856097014531203,
Extra Trees,f_046,model_builtin,0.006718186581464993,
Extra Trees,f_080,permutation_auprc_drop,0.006604687181013568,0.0019371643250591568
Extra Trees,f_083,model_builtin,0.006463539805367292,
Extra Trees,f_002,model_builtin,0.006393175826540057,
Extra Trees,f_099,model_builtin,0.006370239961821264,
Extra Trees,f_146,model_builtin,0.006246137205299107,
Extra Trees,f_040,model_builtin,0.006174706508905717,
Extra Trees,f_135,model_builtin,0.006164736526641433,
Extra Trees,f_163,model_builtin,0.0061306966217801765,
Extra Trees,f_164,model_builtin,0.00610563863154764,
Extra Trees,f_064,model_builtin,0.006089365439408402,
Extra Trees,f_050,model_builtin,0.006016129345573321,
Extra Trees,f_138,model_builtin,0.005978916439863278,
Extra Trees,f_090,model_builtin,0.005915969207837684,
Extra Trees,f_058,model_builtin,0.005866247213782607,
Extra Trees,f_049,model_builtin,0.005795611911047782,
Extra Trees,f_079,permutation_auprc_drop,0.005780807751904338,0.002005366695642234
Extra Trees,f_084,model_builtin,0.005671930397421707,
Extra Trees,f_111,model_builtin,0.005473437637417856,
Extra Trees,f_043,model_builtin,0.005466731132025402,
Extra Trees,f_001,model_builtin,0.005404862962488481,
Extra Trees,f_076,model_builtin,0.005347549501224159,
Extra Trees,f_155,model_builtin,0.0053014706177449125,
Extra Trees,f_103,model_builtin,0.005219089262310235,
Extra Trees,f_002,permutation_auprc_drop,0.005178329131702653,0.00039606382331902205
Extra Trees,f_078,model_builtin,0.00513953440021416,
Extra Trees,f_104,model_builtin,0.00508379238706172,
Extra Trees,f_077,model_builtin,0.005064160093856073,
Extra Trees,f_042,model_builtin,0.0049889825961928185,
Extra Trees,f_153,model_builtin,0.0049841200934771495,
Extra Trees,f_147,model_builtin,0.004917483787505891,
Extra Trees,f_066,model_builtin,0.00486537443711536,
Extra Trees,f_112,model_builtin,0.004862565945565899,
Extra Trees,f_020,permutation_auprc_drop,0.004799502034597991,0.001113731293030109
Extra Trees,f_136,model_builtin,0.004515135325899394,
Extra Trees,f_060,model_builtin,0.004491205700195776,
Extra Trees,f_044,model_builtin,0.004150359221004296,
Extra Trees,f_154,model_builtin,0.003968768788470595,
Extra Trees,f_059,model_builtin,0.003956525984645329,
Extra Trees,f_092,permutation_auprc_drop,0.003821870371105096,0.0006956516620045755
Extra Trees,f_114,model_builtin,0.003821030484749489,
Extra Trees,f_124,model_builtin,0.003774163489588914,
Extra Trees,f_158,permutation_auprc_drop,0.0036142020742777614,0.0012828167489524083
Extra Trees,f_019,permutation_auprc_drop,0.0035889138528654605,0.0012428462791562614
Extra Trees,f_061,permutation_auprc_drop,0.0033815232576806407,0.002065718457492094
Extra Trees,f_141,model_builtin,0.003305446659067458,
Extra Trees,f_028,model_builtin,0.003293290250083496,
Extra Trees,f_022,model_builtin,0.0032806586303244715,
Extra Trees,f_134,permutation_auprc_drop,0.003260671564098494,0.0010263348916544693
Extra Trees,f_089,permutation_auprc_drop,0.003244403186719791,0.001649815690177787
Extra Trees,f_157,permutation_auprc_drop,0.00320817190721977,0.0014677927483424974
Extra Trees,f_147,permutation_auprc_drop,0.0031674432980479893,0.000438692045252016
Extra Trees,f_150,model_builtin,0.003129550935116624,
Extra Trees,f_091,permutation_auprc_drop,0.003071670797739223,0.0009341148839161305
Extra Trees,f_106,model_builtin,0.0030330132173865655,
Extra Trees,f_126,model_builtin,0.00293586203171837,
Extra Trees,f_062,permutation_auprc_drop,0.0028712892404973876,0.0007939150182419137
Extra Trees,f_148,model_builtin,0.002835937724796242,
Extra Trees,f_086,permutation_auprc_drop,0.002832143776605034,0.0007623756018538804
Extra Trees,f_151,permutation_auprc_drop,0.002828342611437351,0.0013664049230362669
Extra Trees,f_156,model_builtin,0.002813694168045545,
Extra Trees,f_109,model_builtin,0.0028082410908552777,
Extra Trees,f_065,model_builtin,0.0028038125562017215,
Extra Trees,f_088,permutation_auprc_drop,0.002795480336312972,0.000812880385347206
Extra Trees,f_087,model_builtin,0.002779754332538379,
Extra Trees,f_110,model_builtin,0.0027305571079955806,
Extra Trees,f_152,permutation_auprc_drop,0.002700814001909613,0.0011728992454314877
Extra Trees,f_128,model_builtin,0.0026598230219035584,
Extra Trees,f_121,model_builtin,0.002632656231586954,
Extra Trees,f_133,permutation_auprc_drop,0.0025598194055454714,0.00104612892330774
Extra Trees,f_105,model_builtin,0.002538130517841159,
Extra Trees,f_048,permutation_auprc_drop,0.002490111945688134,0.0014074721336467396
Extra Trees,f_030,model_builtin,0.0024054263670023174,
Extra Trees,f_139,permutation_auprc_drop,0.00240101952581081,0.0005826102021351283
Extra Trees,f_027,model_builtin,0.002380272864070356,
Extra Trees,f_024,model_builtin,0.002362664005030214,
Extra Trees,f_143,model_builtin,0.002354338706689887,
Extra Trees,f_123,model_builtin,0.0023499554488714417,
Extra Trees,f_085,permutation_auprc_drop,0.002312908062938923,0.0008137777247459282
Extra Trees,f_108,model_builtin,0.0022489477824027397,
Extra Trees,f_039,permutation_auprc_drop,0.002114977976271548,0.001209014998644339
Extra Trees,f_127,model_builtin,0.002101314625683517,
Extra Trees,f_042,permutation_auprc_drop,0.0020601233441317813,0.00113662135221202
